gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Mean TFH	Mean TH1	TFH:TFH_Rep1	TFH:TFH_Rep2	TH1:TH1_Rep1	TH1:TH1_Rep2
Comp	17.73	-0.13	0.45	-0.29	0.77	2	16.35	19.11	18.69	14	21.13	17.08
Comt	606.07	0.32	0.21	1.49	0.14	0.31	676.68	535.47	668.73	684.62	598.8	472.13
Comtd1	92.09	-0.1	0.35	-0.28	0.78	0.88	87.94	96.24	65.4	110.47	100.97	91.5
Copa	14038.97	-0.05	0.16	-0.3	0.77	0.88	13807.02	14270.91	13885.85	13728.19	14036.29	14505.54
Copb1	5603.27	-0.01	0.16	-0.06	0.95	0.98	5583.79	5622.76	5640.84	5526.75	5462.82	5782.7
Copb2	7256.3	-0.08	0.16	-0.46	0.64	0.8	7057.9	7454.7	7126.46	6989.35	6923.43	7985.98
Cope	1423.95	-0.24	0.18	-1.34	0.18	0.38	1302.25	1545.64	1264.05	1340.45	1555.33	1535.95
Copg	4032.03	-0.28	0.17	-1.58	0.11	0.28	3630.82	4433.24	3728.08	3533.57	3975.59	4890.89
Copg2	1402.97	0.18	0.18	1.03	0.3	0.52	1495.04	1310.9	1444.25	1545.84	1268.84	1352.96
Cops2	3268.06	0.57	0.18	3.14	0.0017	0.012	3929.72	2606.4	4101.82	3757.63	2909.48	2303.32
Cops3	1992.8	0.12	0.2	0.6	0.55	0.74	2078.71	1906.9	2137	2020.41	2214.4	1599.39
Cops4	2132.9	0.11	0.19	0.56	0.57	0.75	2216.47	2049.33	2159.7	2273.25	2344.34	1754.33
Cops5	1549.21	0.06	0.19	0.33	0.74	0.86	1585.77	1512.65	1659.15	1512.39	1693.09	1332.22
Cops6	1432.02	0.08	0.19	0.42	0.68	0.82	1473.42	1390.62	1437.57	1509.28	1549.06	1232.18
Cops7a	902.24	0.12	0.19	0.63	0.53	0.72	940.9	863.57	911.66	970.14	852.42	874.72
Cops7b	716.88	0.44	0.2	2.21	0.027	0.1	830.97	602.79	886.3	775.64	598.02	607.55
Cops8	1056.07	-0.19	0.2	-0.98	0.33	0.55	981.32	1130.83	954.38	1008.26	994.09	1267.56
Copz1	4894.7	0.02	0.18	0.13	0.9	0.95	4937.19	4852.21	5261.75	4612.63	5417.42	4287
Copz2	5.26	-0.12	0.4	-0.29	0.77	2	4.5	6.01	6.67	2.33	4.7	7.32
Coq10a	272.12	0.32	0.25	1.27	0.2	0.41	304.38	239.87	312.34	296.41	211.34	268.4
Coq10b	532.84	-0.15	0.22	-0.71	0.48	0.69	503.18	562.49	513.9	492.46	630.9	494.09
Coq2	603	0.04	0.21	0.19	0.85	0.92	611.06	594.93	559.28	662.84	562.8	627.07
Coq3	324.25	0.2	0.23	0.84	0.4	0.62	348.3	300.21	364.4	332.2	307.62	292.79
Coq4	152.45	0.19	0.29	0.66	0.51	0.71	163.61	141.3	161.51	165.71	136.2	146.4
Coq5	630.25	0.15	0.2	0.77	0.44	0.66	665.28	595.22	651.38	679.17	579.24	611.21
Coq6	397.61	0.12	0.22	0.56	0.57	0.75	415.83	379.39	408.45	423.22	386.68	372.09
Coq7	152.38	-0.34	0.29	-1.15	0.25	0.46	132.43	172.34	148.16	116.7	160.46	184.22
Coq9	670.08	0.28	0.2	1.38	0.17	0.36	737.31	602.86	692.76	781.87	615.24	590.47
Corin	1.2	-0.15	0.24	-0.62	0.53	2	0.39	2	0	0.78	1.57	2.44
Coro1a	44057.17	-0.56	0.19	-2.97	0.003	0.019	35197.49	52916.86	36151.54	34243.45	43365.96	62467.76
Coro1b	4167.94	-0.02	0.17	-0.14	0.89	0.94	4132.68	4203.21	4131.18	4134.17	4541.52	3864.89
Coro1c	4697.96	-0.21	0.17	-1.23	0.22	0.43	4346.41	5049.5	4560.99	4131.84	4695.72	5403.28
Coro2a	742.01	-1.54	0.21	-7.29	3.00E-13	1.40E-11	360.78	1123.23	312.34	409.22	1185.08	1061.38
Coro2b	927.57	1.54	0.21	7.18	6.80E-13	3.10E-11	1404.45	450.7	1401.53	1407.36	535.4	365.99
Coro6	1.03	0.08	0.23	0.37	0.71	2	1.45	0.61	1.33	1.56	0	1.22
Coro7	5546.09	-0.18	0.16	-1.14	0.26	0.47	5181.81	5910.37	5267.09	5096.53	5686.68	6134.05
Cort	2.51	0.21	0.31	0.67	0.5	2	3.84	1.17	5.34	2.33	2.35	0
Cotl1	15566.01	0.39	0.17	2.24	0.025	0.098	17719.57	13412.45	15598.39	19840.75	13401.48	13423.42
Cox10	772.79	-0.3	0.2	-1.48	0.14	0.32	688.55	857.03	628.69	748.41	906.43	807.63
Cox11	227.29	0.27	0.27	1.01	0.31	0.53	251.16	203.42	236.26	266.07	234.83	172.02
Cox15	1228.93	0.09	0.18	0.49	0.62	0.79	1268.98	1188.87	1294.75	1243.21	1249.27	1128.48
Cox16	641.67	-0.29	0.21	-1.41	0.16	0.35	572.04	711.31	532.58	611.49	652.81	769.81
Cox17	1113.88	-0.87	0.23	-3.81	0.00014	0.0015	764.07	1463.69	759.5	768.64	1097.42	1829.97
Cox18	436.06	-0.31	0.23	-1.33	0.18	0.38	385.66	486.46	401.77	369.54	411.73	561.19
Cox19	279.76	-0.13	0.25	-0.52	0.6	0.77	266.58	292.94	298.99	234.17	294.31	291.57
Cox4i1	7730.66	-0.93	0.42	-2.2	0.028	0.1	4290.6	11170.72	4248.65	4332.56	6331.67	16009.77
Cox4i2	4.03	0.13	0.38	0.34	0.73	2	4.89	3.18	6.67	3.11	3.91	2.44
Cox4nb	743.5	-0.48	0.21	-2.27	0.023	0.092	612.85	874.14	603.33	622.38	1008.97	739.31
Cox5a	2962.78	-0.72	0.17	-4.3	1.70E-05	0.00025	2214.98	3710.57	2318.54	2111.43	3717.28	3703.85
Cox5b	1554.61	-0.09	0.22	-0.42	0.68	0.82	1503.02	1606.21	1385.52	1620.53	1952.18	1260.24
Cox6a1	2484.31	-0.09	0.42	-0.2	0.84	0.92	2375.27	2593.36	1440.24	3310.29	3015.16	2171.56
Cox6a2	0.91	-0.14	0.19	-0.73	0.46	2	0	1.83	0	0	0	3.66
Cox6b1	1937.17	-1.22	0.21	-5.9	3.70E-09	1.10E-07	1122.56	2751.78	911.66	1333.45	2524.37	2979.19
Cox6b2	15.88	-0.03	0.45	-0.07	0.94	2	15.57	16.19	18.69	12.45	14.09	18.3
Cox6c	1951.5	-0.15	0.19	-0.82	0.41	0.63	1842.81	2060.2	1871.38	1814.24	2329.47	1790.93
Cox7a1	12.77	-0.46	0.45	-1.02	0.31	2	8.39	17.15	6.67	10.11	17.22	17.08
Cox7a2	1791.28	-0.59	0.24	-2.47	0.013	0.062	1400.23	2182.33	1424.22	1376.24	2864.08	1500.57
Cox7a2l	5766.7	0.26	0.18	1.47	0.14	0.32	6301.26	5232.14	6441.71	6160.8	4620.58	5843.7
Cox7b	2112.02	0.33	0.45	0.74	0.46	0.67	2524.88	1699.16	2282.5	2767.27	2565.07	833.25
Cox7c	621.06	0.03	0.24	0.12	0.91	0.95	628.85	613.27	706.11	551.59	748.31	478.23
Cox8a	2201.97	-0.16	0.44	-0.37	0.71	0.85	1996.07	2407.88	2134.33	1857.81	3600.65	1215.1
Cp	3.59	-0.23	0.35	-0.66	0.51	2	1.94	5.23	0	3.89	3.13	7.32
Cpa2	10.68	0	0.45	-0.01	1	2	10.62	10.75	8.01	13.23	11.74	9.76
Cpa3	1.75	-0.01	0.29	-0.04	0.97	2	1.72	1.78	2.67	0.78	2.35	1.22
Cpa4	0.2	-0.08	0.14	-0.52	0.6	2	0	0.39	0	0	0.78	0
Cpb1	0.2	-0.08	0.14	-0.52	0.6	2	0	0.39	0	0	0.78	0
Cpb2	0.2	-0.08	0.14	-0.52	0.6	2	0	0.39	0	0	0.78	0
Cpd	391.28	-1.69	0.23	-7.41	1.20E-13	6.00E-12	172.95	609.61	161.51	184.38	612.89	606.33
Cpe	2.28	-0.16	0.3	-0.52	0.6	2	1.33	3.22	2.67	0	1.57	4.88
Cpeb1	11.68	0.67	0.45	1.49	0.14	2	17.62	5.74	17.35	17.89	7.83	3.66
Cpeb2	222.2	-0.53	0.26	-2.02	0.044	0.15	177.95	266.46	166.85	189.05	286.49	246.44
Cpeb3	5.64	0.18	0.4	0.44	0.66	2	6.84	4.44	6.67	7	1.57	7.32
Cpeb4	355.34	-0.22	0.23	-0.97	0.33	0.55	326.45	384.23	332.36	320.53	378.07	390.39
Cplx1	0.2	-0.08	0.14	-0.52	0.6	2	0	0.39	0	0	0.78	0
Cpm	1123.08	0.14	0.19	0.73	0.46	0.67	1179.88	1066.27	1121.23	1238.54	1155.34	977.2
Cpne1	2900.24	-0.13	0.17	-0.81	0.42	0.64	2761.22	3039.26	2815.08	2707.36	2973.67	3104.84
Cpne2	30.91	-0.3	0.43	-0.71	0.48	0.68	26.07	35.74	28.03	24.12	33.66	37.82
Cpne3	1236.85	1.03	0.2	5.26	1.40E-07	3.20E-06	1683.5	790.2	1765.93	1601.08	892.34	688.07
Cpne5	3.93	-0.24	0.37	-0.63	0.53	2	2.5	5.35	2.67	2.33	7.04	3.66
Cpne6	1.06	0.04	0.21	0.18	0.86	2	1.33	0.78	2.67	0	1.57	0
Cpne7	2.25	-0.27	0.3	-0.9	0.37	2	0.67	3.83	1.33	0	1.57	6.1
Cpne8	238.97	0.28	0.28	0.99	0.32	0.54	263.9	214.04	256.28	271.51	159.68	268.4
Cpne9	2.95	0.15	0.33	0.44	0.66	2	3.95	1.96	4	3.89	3.91	0
Cpox	876.77	-0.39	0.2	-1.93	0.054	0.17	750.22	1003.33	724.79	775.64	869.64	1137.02
Cpped1	319.38	-0.74	0.25	-2.94	0.0033	0.021	232.66	406.09	229.58	235.73	476.7	335.49
Cpsf1	2442.84	0.01	0.17	0.03	0.97	0.99	2447.47	2438.21	2409.3	2485.64	2421.83	2454.6
Cpsf2	3696.93	-0.16	0.18	-0.91	0.36	0.58	3477.09	3916.78	3522.52	3431.66	3413.58	4419.98
Cpsf3	2354.14	0.15	0.18	0.87	0.38	0.6	2484	2224.27	2470.7	2497.31	2028.11	2420.44
Cpsf3l	1724.88	0.1	0.17	0.55	0.58	0.76	1783.58	1666.18	1745.91	1821.24	1619.51	1712.85
Cpsf4	743.16	-0.02	0.2	-0.1	0.92	0.96	738.11	748.21	748.82	727.41	793.71	702.71
Cpsf4l	11.93	-0.29	0.45	-0.64	0.52	2	9.29	14.58	14.68	3.89	13.31	15.86
Cpsf6	4092.81	0.24	0.17	1.38	0.17	0.36	4443.78	3741.83	4578.34	4309.22	4094.57	3389.1
Cpsf7	3210.26	-0.05	0.17	-0.26	0.79	0.89	3157.88	3262.63	3224.86	3090.9	3571.69	2953.57
Cpt1a	3601.89	0.56	0.17	3.29	0.00099	0.0079	4313.73	2890.05	4007.05	4620.41	2950.97	2829.13
Cpt1b	2.42	0.1	0.32	0.31	0.75	2	3.06	1.78	5.34	0.78	2.35	1.22
Cpt1c	2.48	-0.21	0.31	-0.67	0.5	2	1.17	3.79	0	2.33	3.91	3.66
Cpt2	380.01	-0.13	0.23	-0.57	0.57	0.75	361.85	398.16	360.39	363.32	435.21	361.11
Cpvl	0.19	0.08	0.14	0.53	0.6	2	0.39	0	0	0.78	0	0
Cpxm1	9.69	-0.36	0.44	-0.81	0.42	2	6.73	12.66	8.01	5.45	18	7.32
Cr1l	1620.62	-0.61	0.18	-3.38	0.00072	0.0061	1270.89	1970.34	1356.15	1185.64	1891.13	2049.56
Cr2	3.5	0.07	0.34	0.21	0.84	2	3.95	3.05	4	3.89	0	6.1
Crabp2	13.02	-0.46	0.45	-1.02	0.31	2	8.67	17.37	8.01	9.34	16.44	18.3
Cradd	108.25	0.18	0.32	0.56	0.57	0.75	116.08	100.41	110.79	121.36	105.67	95.16
Cramp1l	2175.14	0.24	0.17	1.43	0.15	0.34	2364.8	1985.47	2322.54	2407.06	2064.11	1906.83
Crat	158.82	-0.42	0.29	-1.45	0.15	0.33	133.6	184.04	148.16	119.03	186.29	181.78
Crb2	1.39	-0.26	0.25	-1.03	0.3	2	0	2.79	0	0	3.13	2.44
Crb3	4.43	0.06	0.38	0.16	0.87	2	4.89	3.96	6.67	3.11	5.48	2.44
Crbn	2105.46	0.61	0.18	3.43	6.00E-04	0.0052	2562.38	1648.55	2656.24	2468.52	1783.11	1513.99
Crcp	874.41	0.08	0.21	0.37	0.71	0.84	900.68	848.15	946.37	855	986.27	710.03
Creb1	3941.87	0.07	0.17	0.42	0.68	0.83	4038.63	3845.11	3820.18	4257.09	3897.32	3792.91
Creb3	794.09	-0.39	0.19	-2.04	0.041	0.14	680.73	907.45	652.71	708.74	896.25	918.64
Creb3l1	44.63	-0.54	0.42	-1.29	0.2	0.4	33.08	56.17	37.37	28.79	80.62	31.72
Creb3l2	551.36	-0.45	0.23	-1.95	0.051	0.16	458.76	643.95	481.86	435.67	520.53	767.37
Creb3l3	0.59	-0.03	0.17	-0.2	0.84	2	0.39	0.78	0	0.78	1.57	0
Creb3l4	2.09	0.05	0.31	0.15	0.88	2	2.39	1.78	4	0.78	2.35	1.22
Crebbp	1797.85	0.16	0.19	0.84	0.4	0.62	1902.45	1693.26	1625.78	2179.11	1690.74	1695.77
Crebl2	136.27	0.41	0.3	1.37	0.17	0.36	158.45	114.1	172.19	144.7	102.54	125.66
Crebzf	1191.71	-0.27	0.2	-1.38	0.17	0.36	1073.82	1309.59	1175.95	971.69	1179.61	1439.57
Creg1	235.32	0.05	0.26	0.19	0.85	0.92	240.23	230.42	260.28	220.17	247.35	213.5
Creld1	97.78	-0.53	0.33	-1.59	0.11	0.28	76.55	119.01	66.74	86.36	111.15	126.88
Creld2	1606.85	-1.15	0.18	-6.46	1.00E-10	3.70E-09	973.31	2240.39	938.36	1008.26	2118.91	2361.88
Crem	367.98	-0.73	0.24	-3.07	0.0021	0.015	271.25	464.71	298.99	243.51	504.87	424.55
Crim1	319.28	-0.32	0.25	-1.26	0.21	0.41	280.13	358.43	266.96	293.3	293.53	423.33
Crip1	2975.31	-1.88	0.21	-8.87	7.10E-19	6.10E-17	1190.49	4760.14	965.06	1415.92	4082.83	5437.44
Crip2	80.41	-0.94	0.35	-2.67	0.0076	0.041	49.59	111.23	49.39	49.79	93.15	129.32
Cript	1088.66	-0.52	0.21	-2.45	0.014	0.065	880.53	1296.78	870.29	890.78	1044.19	1549.37
Crispld2	15.21	-0.83	0.45	-1.84	0.066	2	7.01	23.42	9.34	4.67	18.79	28.06
Crk	1497.41	-0.16	0.18	-0.87	0.38	0.6	1413.31	1581.5	1477.62	1349.01	1509.93	1653.07
Crkl	3013.12	0.02	0.19	0.09	0.93	0.96	3031.8	2994.44	2831.1	3232.5	3363.48	2625.39
Crlf1	0.7	-0.06	0.2	-0.3	0.76	2	0.39	1	0	0.78	0.78	1.22
Crlf2	311.32	-0.08	0.24	-0.32	0.75	0.86	302.76	319.87	308.34	297.19	342.06	297.67
Crlf3	4809.95	-0.21	0.17	-1.23	0.22	0.43	4437.06	5182.85	4199.26	4674.87	4676.94	5688.76
Crls1	327.76	0.79	0.26	3.03	0.0024	0.017	424.23	231.3	415.12	433.33	285.7	176.9
Crmp1	220.32	-1.77	0.36	-4.87	1.10E-06	2.10E-05	76.99	363.66	61.4	92.58	161.25	566.07
Crnkl1	1377.41	0.12	0.18	0.68	0.5	0.7	1437.22	1317.59	1381.51	1492.94	1290.76	1344.42
Crocc	195.13	-0.45	0.27	-1.68	0.093	0.24	161.11	229.15	158.84	163.38	208.21	250.1
Crot	2068.15	-0.74	0.17	-4.26	2.10E-05	0.00029	1530.32	2605.97	1553.7	1506.94	2452.36	2759.59
Crtam	23.33	0.93	0.45	2.1	0.036	0.13	35.08	11.58	41.38	28.79	10.96	12.2
Crtap	327.71	0.09	0.23	0.38	0.7	0.84	338.68	316.75	344.38	332.97	324.84	308.65
Crtc1	296.31	0.75	0.24	3.1	0.0019	0.014	377.77	214.85	403.11	352.42	222.3	207.4
Crtc2	1726.06	0.23	0.21	1.09	0.28	0.49	1873.33	1578.78	2038.23	1708.44	1888.78	1268.78
Crtc3	1235.86	0.36	0.19	1.92	0.054	0.17	1396.69	1075.03	1466.94	1326.45	1154.56	995.5
Crx	7.42	-0.21	0.39	-0.53	0.59	2	5.34	9.5	10.68	0	3.13	15.86
Cry1	1396.91	-1.34	0.24	-5.54	3.10E-08	8.10E-07	747.7	2046.12	694.09	801.32	1436.35	2655.89
Cry2	163.48	0.02	0.31	0.05	0.96	0.98	164.11	162.84	169.52	158.71	115.85	209.84
Cryab	2.7	0.04	0.31	0.13	0.9	2	3.06	2.35	5.34	0.78	4.7	0
Cryba1	0.33	0.09	0.15	0.56	0.57	2	0.67	0	1.33	0	0	0
Cryba4	10.74	-0.66	0.45	-1.47	0.14	2	5.28	16.19	6.67	3.89	14.09	18.3
Crybb1	8.92	-0.81	0.43	-1.87	0.062	2	2.78	15.06	4	1.56	20.35	9.76
Crybg3	233.36	0.05	0.27	0.2	0.84	0.92	237.48	229.25	204.22	270.74	203.52	254.98
Crygn	2.45	-0.31	0.31	-0.98	0.33	2	0.67	4.22	1.33	0	2.35	6.1
Cryl1	366.3	0.4	0.22	1.76	0.078	0.22	419.67	312.93	423.13	416.22	312.32	313.53
Cryz	121.14	-0.55	0.31	-1.79	0.074	0.21	95.12	147.17	96.11	94.14	147.94	146.4
Cryzl1	182.81	0.16	0.28	0.58	0.56	0.75	194.57	171.04	186.87	202.27	195.69	146.4
Cs	8712.71	0.07	0.19	0.37	0.71	0.85	8929.29	8496.13	8892.39	8966.19	9882.23	7110.03
Csad	99.1	0.06	0.34	0.19	0.85	0.92	101.46	96.74	104.11	98.8	75.14	118.34
Csda	2107.38	0.01	0.19	0.08	0.94	0.97	2117.36	2097.39	1830	2404.73	2028.11	2166.68
Csde1	9218.78	-0.07	0.16	-0.42	0.67	0.82	9000.79	9436.78	8977.82	9023.76	9567.56	9305.99
Cse1l	5363.96	0.24	0.17	1.4	0.16	0.35	5832.47	4895.45	5512.7	6152.24	5358.71	4432.18
Csf1	67.14	-1.8	0.42	-4.29	1.80E-05	0.00026	18.29	115.98	18.69	17.89	47.75	184.22
Csf1r	42.02	-0.5	0.35	-1.41	0.16	0.35	7.06	76.99	4	10.11	3.91	150.06
Csf2	6.66	-0.88	0.4	-2.19	0.028	2	0.39	12.94	0	0.78	3.91	21.96
Csf2ra	59.94	0.41	0.38	1.08	0.28	0.49	70.77	49.1	80.09	61.46	46.97	51.24
Csf2rb	28.05	-0.67	0.45	-1.49	0.14	0.31	16.34	39.77	9.34	23.34	14.87	64.66
Csf2rb2	4.23	0.19	0.38	0.51	0.61	2	5.5	2.96	4	7	4.7	1.22
Csf3	0.61	-0.1	0.16	-0.6	0.55	2	0	1.22	0	0	0	2.44
Csf3r	66.31	-0.34	0.43	-0.81	0.42	0.64	54.14	78.48	32.04	76.24	31.31	125.66
Csgalnact1	22.32	1.32	0.45	2.92	0.0035	0.022	38.02	6.62	20.02	56.01	4.7	8.54
Csgalnact2	629.58	0	0.2	0	1	1	629.7	629.46	620.68	638.72	637.94	620.97
Csk	7645.11	0.11	0.17	0.64	0.52	0.72	7937.08	7353.13	8337.12	7537.04	6887.42	7818.84
Csl	16.24	-0.22	0.45	-0.48	0.63	2	13.62	18.85	9.34	17.89	13.31	24.4
Csnk1a1	6678.05	0.49	0.19	2.53	0.011	0.054	7844.34	5511.75	7554.93	8133.75	6482.74	4540.76
Csnk1d	3980.08	0.04	0.17	0.27	0.79	0.89	4045.02	3915.13	4348.76	3741.29	3987.33	3842.93
Csnk1e	399.32	-0.32	0.23	-1.42	0.15	0.34	352.47	446.17	384.42	320.53	444.6	447.73
Csnk1g1	1833.76	0.35	0.19	1.85	0.064	0.19	2068.93	1598.58	2024.88	2112.99	1822.24	1374.92
Csnk1g2	2745.47	0.04	0.18	0.21	0.83	0.92	2782.64	2708.3	2734.99	2830.28	2387.39	3029.21
Csnk1g3	1467.58	0.51	0.18	2.88	0.0039	0.024	1733.87	1201.29	1688.51	1779.23	1165.52	1237.06
Csnk2a1	5009.37	0.14	0.16	0.86	0.39	0.61	5255.41	4763.32	5336.5	5174.33	4794.35	4732.3
Csnk2a2	1370.56	0.22	0.19	1.2	0.23	0.44	1481.96	1259.16	1517.66	1446.26	1377.64	1140.68
Csnk2b	5124.47	-0.34	0.16	-2.08	0.037	0.13	4501.88	5747.06	4651.75	4352	6000.57	5493.56
Cspg4	0.2	-0.08	0.14	-0.52	0.6	2	0	0.39	0	0	0.78	0
Cspg5	6.87	0.29	0.43	0.68	0.5	2	8.95	4.79	9.34	8.56	4.7	4.88
Cspp1	620.42	0.3	0.21	1.42	0.15	0.34	689.04	551.8	726.13	651.94	605.85	497.75
Csrnp1	1035.4	-0.32	0.19	-1.71	0.088	0.23	915.28	1155.53	896.98	933.57	1082.54	1228.52
Csrnp2	148.72	0.29	0.29	1.01	0.31	0.53	165.67	131.77	169.52	161.82	124.46	139.08
Csrnp3	0.53	0.02	0.16	0.13	0.9	2	0.67	0.39	1.33	0	0.78	0
Csrp1	5145.56	-0.41	0.17	-2.5	0.013	0.059	4391.26	5899.86	4432.85	4349.67	6276.88	5522.84
Csrp2	53.85	-1.27	0.39	-3.23	0.0012	0.0095	25.24	82.46	24.03	26.45	67.32	97.6
Csrp2bp	1355.35	-0.22	0.2	-1.13	0.26	0.47	1244.72	1465.98	1230.68	1258.77	1250.84	1681.13
Cst3	539.6	-0.74	0.21	-3.54	4.00E-04	0.0037	395.42	683.78	368.4	422.44	688.04	679.53
Cst6	6.98	0.35	0.42	0.82	0.41	2	9.62	4.35	10.68	8.56	6.26	2.44
Cst7	1214.45	-0.37	0.24	-1.58	0.11	0.28	1046.65	1382.25	1179.96	913.35	1738.49	1026
Csta	0.2	-0.08	0.14	-0.52	0.6	2	0	0.39	0	0	0.78	0
Cstad	2	0.13	0.29	0.46	0.65	2	2.78	1.22	4	1.56	0	2.44
Cstb	418.56	0.09	0.23	0.4	0.69	0.83	433.18	403.94	433.81	432.56	451.65	356.23
Cstf1	790.2	0.25	0.2	1.29	0.2	0.4	863.01	717.4	814.22	911.79	757.7	677.09
Cstf2	2987.48	0.23	0.18	1.29	0.2	0.4	3235.46	2739.51	3236.87	3234.05	3048.81	2430.2
Cstf2t	1541.23	0.03	0.18	0.15	0.88	0.94	1556.44	1526.03	1548.36	1564.51	1383.12	1668.93
Cstf3	1448.87	0.22	0.18	1.21	0.23	0.44	1565.29	1332.45	1450.92	1679.65	1414.43	1250.48
Ctage5	3162.83	0.34	0.17	1.96	0.05	0.16	3543.77	2781.88	3661.34	3426.21	2982.28	2581.47
Ctbp1	4689.5	-0.15	0.18	-0.84	0.4	0.62	4425.67	4953.33	3928.3	4923.04	4487.51	5419.14
Ctbp2	9.68	-0.13	0.44	-0.3	0.76	2	8.56	10.8	9.34	7.78	9.39	12.2
Ctbs	88.98	0.54	0.35	1.56	0.12	0.29	109.24	68.72	113.46	105.03	83.75	53.68
Ctcf	7248.02	0.01	0.16	0.04	0.97	0.98	7265.1	7230.94	7325.34	7204.85	6907.78	7554.1
Ctcfl	3.15	-0.18	0.35	-0.52	0.6	2	2.11	4.18	2.67	1.56	4.7	3.66
Ctdnep1	1760.13	0.47	0.19	2.49	0.013	0.059	2055.13	1465.13	2102.3	2007.96	1638.3	1291.96
Ctdp1	1164.24	0	0.18	-0.02	0.98	0.99	1162.86	1165.61	1209.32	1116.4	1201.52	1129.7
Ctdsp1	2324.08	-0.87	0.19	-4.65	3.40E-06	5.70E-05	1617.19	3030.97	1716.54	1517.83	2669.18	3392.76
Ctdsp2	4749.04	0.58	0.16	3.59	0.00033	0.0032	5716.87	3781.21	5607.47	5826.27	3796.34	3766.07
Ctdspl	103.58	-0.19	0.33	-0.58	0.56	0.75	94.84	112.33	85.43	104.25	89.23	135.42
Ctdspl2	2221.33	0.34	0.18	1.95	0.051	0.16	2493.81	1948.85	2403.96	2583.66	2086.03	1811.67
Ctf1	0.78	0	0.19	0	1	2	0.78	0.78	0	1.56	1.57	0
Ctgf	0.3	-0.08	0.15	-0.55	0.58	2	0	0.61	0	0	0	1.22
Cth	29.68	-0.31	0.43	-0.72	0.47	0.68	24.85	34.52	24.03	25.67	33.66	35.38
Ctla2a	1160.85	-3	0.21	-14.62	2.20E-48	8.60E-46	233.17	2088.53	256.28	210.05	2315.38	1861.69
Ctla2b	485.95	-2.59	0.23	-11.35	7.70E-30	1.30E-27	123.58	848.31	118.8	128.37	769.44	927.18
Ctla4	9336.32	-2.02	0.18	-11.55	7.40E-31	1.40E-28	3524.61	15148.03	3798.82	3250.39	16600.58	13695.47
Ctnna1	1664.52	-0.95	0.18	-5.38	7.30E-08	1.70E-06	1116.24	2212.8	1077.18	1155.3	2125.95	2299.66
Ctnnal1	67.28	0.43	0.36	1.2	0.23	0.44	79.72	54.85	80.09	79.35	54.79	54.9
Ctnnb1	6660.39	0.28	0.17	1.7	0.09	0.24	7331.25	5989.53	6991.65	7670.86	5599.8	6379.27
Ctnnbip1	108.54	0.25	0.32	0.76	0.45	0.66	118.96	98.12	104.11	133.81	87.67	108.58
Ctnnbl1	1742.27	0.04	0.18	0.2	0.84	0.92	1764.03	1720.51	1648.47	1879.59	1575.68	1865.35
Ctnnd1	28.56	-1.07	0.45	-2.35	0.019	0.079	10.12	47	9.34	10.89	8.61	85.4
Ctnnd2	0.73	-0.01	0.18	-0.08	0.94	2	0.67	0.78	1.33	0	1.57	0
Ctns	249.28	0.33	0.25	1.32	0.19	0.39	280.41	218.15	286.98	273.85	230.13	206.18
Ctps	1842.06	0.03	0.18	0.18	0.85	0.93	1863.02	1821.1	1815.32	1910.71	1682.91	1959.28
Ctps2	1583.52	0.02	0.18	0.11	0.91	0.96	1594.03	1573.01	1474.95	1713.11	1549.06	1596.95
Ctr9	1325.22	-0.23	0.18	-1.27	0.2	0.41	1215.1	1435.34	1226.67	1203.53	1351.81	1518.87
Ctrb1	0.2	-0.08	0.14	-0.52	0.6	2	0	0.39	0	0	0.78	0
Ctrl	23.73	0.04	0.44	0.1	0.92	0.96	24.35	23.11	25.36	23.34	24.27	21.96
Cts8	0.98	-0.03	0.21	-0.15	0.88	2	0.78	1.17	0	1.56	2.35	0
Ctsa	4538.26	-0.46	0.17	-2.76	0.0059	0.033	3799.11	5277.41	3898.93	3699.28	5602.93	4951.89
Ctsb	11531.15	-0.18	0.16	-1.1	0.27	0.49	10801.24	12261.05	10689.02	10913.46	13044.54	11477.55
Ctsc	1682.58	-0.64	0.18	-3.63	0.00029	0.0028	1299.68	2065.48	1220	1379.35	2048.46	2082.5
Ctsd	9728.82	-1.25	0.16	-7.88	3.20E-15	1.90E-13	5653.92	13803.72	5503.35	5804.49	14105.95	13501.5
Ctse	10194.67	0.46	0.17	2.77	0.0055	0.032	11871.22	8518.12	11169.55	12572.89	9089.3	7946.94
Ctsf	7.31	-0.1	0.43	-0.23	0.82	2	6.62	8.01	9.34	3.89	6.26	9.76
Ctsg	0.64	0	0.17	0.03	0.98	2	0.67	0.61	1.33	0	0	1.22
Ctsh	7.61	-0.39	0.41	-0.94	0.34	2	4.06	11.15	2.67	5.45	1.57	20.74
Ctsk	1.45	0.04	0.26	0.16	0.87	2	1.72	1.17	2.67	0.78	2.35	0
Ctsl	66.47	-0.33	0.37	-0.9	0.37	0.58	56.71	76.23	57.4	56.01	63.4	89.06
Ctso	688.21	0.39	0.21	1.89	0.058	0.18	786.12	590.3	868.95	703.29	581.58	599.01
Ctss	1925.86	0.49	0.18	2.74	0.0061	0.034	2260.62	1591.1	2227.77	2293.48	1715.79	1466.41
Ctsw	399.82	-1.37	0.25	-5.48	4.30E-08	1.10E-06	210.94	588.69	252.28	169.6	528.36	649.03
